year,bujiness_classify,doc_type,label_jpn,prefix,element,periodType,balance,abstract
2014,cai,bs,機械装置及び運搬具,jppfs_cor,MachineryEquipmentAndVehicles,instant,debit,false
2014,cai,bs,減価償却累計額、機械装置及び運搬具,jppfs_cor,AccumulatedDepreciationMachineryEquipmentAndVehicles,instant,debit,false
2014,cai,bs,減損損失累計額、機械装置及び運搬具,jppfs_cor,AccumulatedImpairmentLossMachineryEquipmentAndVehicles,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、機械装置及び運搬具,jppfs_cor,AccumulatedDepreciationAndImpairmentLossMachineryEquipmentAndVehicles,instant,debit,false
2014,cai,bs,機械装置及び運搬具（純額）,jppfs_cor,MachineryEquipmentAndVehiclesNet,instant,debit,false
2014,cai,bs,車両運搬具及び工具器具備品,jppfs_cor,VehiclesToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減価償却累計額、車両運搬具及び工具器具備品,jppfs_cor,AccumulatedDepreciationVehiclesToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減損損失累計額、車両運搬具及び工具器具備品,jppfs_cor,AccumulatedImpairmentLossVehiclesToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、車両運搬具及び工具器具備品,jppfs_cor,AccumulatedDepreciationAndImpairmentLossVehiclesToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,車両運搬具及び工具器具備品（純額）,jppfs_cor,VehiclesToolsFurnitureAndFixturesNet,instant,debit,false
2014,cai,bs,機械、運搬具及び工具器具備品,jppfs_cor,MachineryVehiclesToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減価償却累計額、機械、運搬具及び工具器具備品,jppfs_cor,AccumulatedDepreciationMachineryVehiclesToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減損損失累計額、機械、運搬具及び工具器具備品,jppfs_cor,AccumulatedImpairmentLossMachineryVehiclesToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、機械、運搬具及び工具器具備品,jppfs_cor,AccumulatedDepreciationAndImpairmentLossMachineryVehiclesToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,機械、運搬具及び工具器具備品（純額）,jppfs_cor,MachineryVehiclesToolsFurnitureAndFixturesNet,instant,debit,false
2014,cai,bs,土地,jppfs_cor,Land,instant,debit,false
2014,cai,bs,リース資産、有形固定資産,jppfs_cor,LeaseAssetsPPE,instant,debit,false
2014,cai,bs,減価償却累計額、リース資産、有形固定資産,jppfs_cor,AccumulatedDepreciationLeaseAssetsPPE,instant,debit,false
2014,cai,bs,減損損失累計額、リース資産、有形固定資産,jppfs_cor,AccumulatedImpairmentLossLeaseAssetsPPE,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、リース資産、有形固定資産,jppfs_cor,AccumulatedDepreciationAndImpairmentLossLeaseAssetsPPE,instant,debit,false
2014,cai,bs,リース資産（純額）、有形固定資産,jppfs_cor,LeaseAssetsNetPPE,instant,debit,false
2014,cai,bs,建設仮勘定,jppfs_cor,ConstructionInProgress,instant,debit,false
2014,cai,bs,その他の有形固定資産で流動資産または投資たる資産に属しないもの、有形固定資産 [タイトル項目],jppfs_cor,OtherTangibleAssetsNotCurrentOrInvestmentsAbstract,duration,,true
2014,cai,bs,航空機,jppfs_cor,Aircraft,instant,debit,false
2014,cai,bs,減価償却累計額、航空機,jppfs_cor,AccumulatedDepreciationAircraft,instant,debit,false
